ParName   Value   Gradient
MGparm[4]         0.15  2.55193e-10
MGparm[7]      1.8e-05            0
MGparm[8]         2.75 -1.44377e-09
SR_parm[1]      13.9917 -5.84654e-05
SR_parm[2]      1.08771 -1.95788e-06
SR_parm[3]      1.19301  8.96248e-07
recdev1(1988)    0.0638519  3.10469e-06
recdev1(1989)     0.523919    1.107e-06
recdev1(1990)      1.05057   5.1572e-07
recdev1(1991)      1.25389 -6.50125e-07
recdev1(1992)      1.18158 -6.79511e-07
recdev1(1993)       1.1352 -4.68631e-07
recdev1(1994)      1.06068 -3.77691e-06
recdev1(1995)     0.542153 -2.37574e-06
recdev1(1996)     0.536647 -4.24177e-06
recdev1(1997)     0.258571 -4.44999e-06
recdev1(1998)     -0.13563 -1.70235e-06
recdev1(1999)    -0.476496 -1.51625e-06
recdev1(2000)    -0.866792  1.10627e-07
recdev1(2001)      -0.4746 -1.68399e-07
recdev1(2002)    -0.293515   1.2971e-06
recdev1(2003)    -0.396999  -6.5886e-07
recdev1(2004)   -0.0779256 -4.71405e-06
recdev1(2005)    -0.070419  -2.3747e-06
recdev1(2006)    -0.147737  5.30476e-07
recdev1(2007)    -0.570932  3.74966e-07
recdev1(2008)    -0.729196 -8.73953e-08
recdev1(2009)    -0.500037 -1.85239e-06
recdev1(2010)    -0.461763 -5.62813e-07
recdev1(2011)    -0.382483   8.8672e-07
recdev1(2012)    -0.153161  2.63867e-06
recdev1(2013)   -0.0409411  2.04962e-06
recdev1(2014)      0.16334   9.2144e-07
recdev1(2015)    0.0363407  1.78922e-06
recdev1(2016)    0.0427144  3.70136e-06
recdev1(2017)    -0.319308  3.42038e-06
recdev1(2018)    -0.728987  2.22075e-06
recdev1(2019)    -0.636827  2.03396e-06
recdev1(2020)    -0.385722  1.85366e-06
Q_parm[1]    -0.053512 -4.72651e-07
Q_parm[2]     0.234207 -3.12711e-09
selparm[1]      4.10283 -1.03076e-06
selparm[2]      1.65442  4.58748e-07
selparm[3]      4.89868 -4.30301e-08
selparm[4]      1.73294 -2.05913e-07
selparm[5]      1.99881 -4.47826e-06
selparm[6]    0.0121673 -8.84713e-08
selparm[7]    -0.244909  -1.3939e-06
selparm[8]    -0.187893  3.95602e-07
selparm[9]    -0.299068 -7.58415e-07
selparm[10]    -0.304867  1.55377e-07
selparm[11]   -0.0130759  1.81796e-06
selparm[12]  -0.00257322  8.35757e-08
